fastrand	2.4.1	Apache-2.0 OR MIT	https://github.com/smol-rs/fastrand	registry+https://github.com/rust-lang/crates.io-index
find-msvc-tools	0.1.9	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs	registry+https://github.com/rust-lang/crates.io-index
flate2	1.1.9	MIT OR Apache-2.0	https://github.com/rust-lang/flate2-rs	registry+https://github.com/rust-lang/crates.io-index
fnv	1.0.7	Apache-2.0 / MIT	https://github.com/servo/rust-fnv	registry+https://github.com/rust-lang/crates.io-index
foreign-types	0.3.2	MIT/Apache-2.0	https://github.com/sfackler/foreign-types	registry+https://github.com/rust-lang/crates.io-index
foreign-types-shared	0.1.1	MIT/Apache-2.0	https://github.com/sfackler/foreign-types	registry+https://github.com/rust-lang/crates.io-index
form_urlencoded	1.2.2	MIT OR Apache-2.0	https://github.com/servo/rust-url	registry+https://github.com/rust-lang/crates.io-index
fs_extra	1.3.0	MIT	https://github.com/webdesus/fs_extra	registry+https://github.com/rust-lang/crates.io-index
futures	0.3.32	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs	registry+https://github.com/rust-lang/crates.io-index
futures-channel	0.3.32	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs	registry+https://github.com/rust-lang/crates.io-index
futures-core	0.3.32	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs	registry+https://github.com/rust-lang/crates.io-index
futures-executor	0.3.32	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs	registry+https://github.com/rust-lang/crates.io-index
futures-io	0.3.32	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs	registry+https://github.com/rust-lang/crates.io-index
futures-macro	0.3.32	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs	registry+https://github.com/rust-lang/crates.io-index
futures-sink	0.3.32	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs	registry+https://github.com/rust-lang/crates.io-index
futures-task	0.3.32	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs	registry+https://github.com/rust-lang/crates.io-index
futures-util	0.3.32	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs	registry+https://github.com/rust-lang/crates.io-index
generic-array	0.14.7	MIT	https://github.com/fizyk20/generic-array.git	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.2.17	MIT OR Apache-2.0	https://github.com/rust-random/getrandom	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.3.4	MIT OR Apache-2.0	https://github.com/rust-random/getrandom	registry+https://github.com/rust-lang/crates.io-index
glob	0.3.3	MIT OR Apache-2.0	https://github.com/rust-lang/glob	registry+https://github.com/rust-lang/crates.io-index
h2	0.4.13	MIT	https://github.com/hyperium/h2	registry+https://github.com/rust-lang/crates.io-index
h3	0.0.8	MIT	https://github.com/hyperium/h3	registry+https://github.com/rust-lang/crates.io-index
h3-quinn	0.0.10	MIT	https://github.com/hyperium/h3	registry+https://github.com/rust-lang/crates.io-index
half	2.7.1	MIT OR Apache-2.0	https://github.com/VoidStarKat/half-rs	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.14.5	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.17.0	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown	registry+https://github.com/rust-lang/crates.io-index
hashlink	0.9.1	MIT OR Apache-2.0	https://github.com/kyren/hashlink	registry+https://github.com/rust-lang/crates.io-index
heck	0.5.0	MIT OR Apache-2.0	https://github.com/withoutboats/heck	registry+https://github.com/rust-lang/crates.io-index
hmac	0.12.1	MIT OR Apache-2.0	https://github.com/RustCrypto/MACs	registry+https://github.com/rust-lang/crates.io-index
http	1.4.0	MIT OR Apache-2.0	https://github.com/hyperium/http	registry+https://github.com/rust-lang/crates.io-index
http-body	1.0.1	MIT	https://github.com/hyperium/http-body	registry+https://github.com/rust-lang/crates.io-index
http-body-util	0.1.3	MIT	https://github.com/hyperium/http-body	registry+https://github.com/rust-lang/crates.io-index
